conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.89416852601514e+18,Mon Feb 24 23:35:50 +0000 2025,29,"Petugas BPOM menemukan 205.133 pieces kosmetik ilegal (4.334 item/varian) dari 91 merek yang beredar. Temuan ini terdiri dari 79,9% kosmetik tanpa izin edar, 17,4% mengandung bahan dilarang/berbahaya, termasuk skincare beretiket biru tidak sesuai ketentuan, 2,6% kosmetik",1.8941693937914719e+18,,reviewtantan,in,,0,1,0,https://x.com/reviewtantan/status/1894169393791471848,2757554951.0,reviewtantan
1.8939317083758633e+18,Mon Feb 24 07:51:21 +0000 2025,0,"Cek Disini Nama-nama Produk Skincare Ilegal yang Dirilis BPOM RI: Total Keekonomian Rp31,7 M https://t.co/GJJKWYpEGJ",1.8939317083758633e+18,,,in,,0,0,0,https://x.com/terkenalcoid/status/1893931708375863313,365332334.0,terkenalcoid
1.8939214664893896e+18,Mon Feb 24 07:10:39 +0000 2025,23,"BPOM menarik puluhan merek kosmetik ilegal dari pasaran berdasarkan hasil pengawasan pada 10-18 Februari lalu. Berikut daftar lengkap kosmetik yang ditarik BPOM, selengkapnya di postingan berikut! #BPOM #Kosmetik #KosmetikIlegal #Skincare #Asumsico https://t.co/M0Soa7H9Wx",1.8939214664893896e+18,https://pbs.twimg.com/media/GkiPiEoWQAA1tuX.jpg,,in,,0,2,9,https://x.com/asumsico/status/1893921466489389564,8.293665514468188e+17,asumsico
1.8938461157887101e+18,Mon Feb 24 02:11:14 +0000 2025,0,Berikut Daftar 91 Skincare-Kosmetik Diduga Ilegal serta Berbahaya Ditarik BPOM https://t.co/73RAcHBHkU,1.8938461157887101e+18,,,in,,0,0,0,https://x.com/chepot777143481/status/1893846115788710262,1.855432533418406e+18,chepot777143481
1.8848359943164972e+18,Thu Jan 30 05:28:14 +0000 2025,0,"Penjabat (Pj) Gubernur Sulawesi Selatan, Prof. Fadjry Djufry, menyoroti maraknya peredaran skincare berbahaya di wilayahnya. Ia menyatakan dukungan terhadap Badan Pengawas Obat dan Makanan (BPOM) dalam memberantas produk ilegal yang beredar. #sulselprov #pjgubernursulsel https://t.co/aobq3inkyH",1.8848359943164972e+18,https://pbs.twimg.com/media/GihIV2wagAA0olQ.jpg,,in,,0,0,0,https://x.com/DBMBKSULSEL/status/1884835994316497103,1.7018131699945144e+18,DBMBKSULSEL
1.8845693856686943e+18,Wed Jan 29 11:48:49 +0000 2025,0,"Penjabat (Pj) Gubernur Sulawesi Selatan, Prof. Fadjry Djufry, menyoroti maraknya peredaran skincare berbahaya di wilayahnya. Ia menyatakan dukungannya terhadap Badan Pengawas Obat dan Makanan (BPOM) dalam memberantas produk ilegal yang beredar tanpa izin resmi. https://t.co/Jk34whjA0p",1.8845693856686943e+18,https://pbs.twimg.com/media/GidV2EjbsAAvcGt.jpg,,in,,0,0,0,https://x.com/diskminfosulsel/status/1884569385668694370,1.7932578135166362e+18,diskminfosulsel
1.8845401518772472e+18,Wed Jan 29 09:52:39 +0000 2025,0,"Penjabat (Pj) Gubernur Sulawesi Selatan, Prof. Fadjry Djufry, menyoroti maraknya peredaran skincare berbahaya di wilayahnya. Ia menyatakan dukungannya terhadap Badan Pengawas Obat dan Makanan (BPOM) dalam memberantas produk ilegal yang beredar tanpa izin resmi. #sulselprov https://t.co/lSL12Muuxd",1.8845401518772472e+18,https://pbs.twimg.com/media/Gic7Rrsa0AAsY-D.jpg,,in,,0,0,0,https://x.com/dishub_sulsel/status/1884540151877247250,1.793602595237552e+18,dishub_sulsel
1.8844929371801108e+18,Wed Jan 29 06:45:03 +0000 2025,0,"Penjabat (Pj) Gubernur Sulawesi Selatan, Prof. Fadjry Djufry, menyoroti maraknya peredaran skincare berbahaya di wilayahnya. Ia menyatakan dukungannya terhadap Badan Pengawas Obat dan Makanan (BPOM) dalam memberantas produk ilegal yang beredar tanpa izin resmi. https://t.co/jhaUVDXZLd",1.8844929371801108e+18,https://pbs.twimg.com/media/GicQVpVaYAEq6n8.jpg,,in,,0,0,0,https://x.com/rslabuangbaji/status/1884492937180110960,1.569126177230717e+18,rslabuangbaji
1.8842402400317809e+18,Wed Jan 29 05:16:21 +0000 2025,0,"@carisefabio @tanyarlfes Ya lu liat bpom kemaren ada skincare &amp; obat yg pake bahan ilegal bisa lolos. Kepercayaan masyarakt ke bpom juga udah rendah. Ini kaitannya sama presepsi psikologi dan dampak media masa, bukan jugde atau lebay semata. Simple sech noh dampak media masa-teori kultivasi.",1.8844706149013755e+18,,carisefabio,in,,0,1,0,https://x.com/cloryyorio24/status/1884470614901375381,1.4280139286683034e+18,cloryyorio24
1.8841310293230062e+18,Tue Jan 28 06:46:57 +0000 2025,0,BPOM dan Polda Sulsel Perkuat Sinergi Berantas Skincare Ilegal https://t.co/W1Xma2I6Ug,1.8841310293230062e+18,,,in,,0,0,0,https://x.com/fajaronline/status/1884131029323006181,89877164.0,fajaronline
1.88271125902966e+18,Sat Jan 25 17:02:49 +0000 2025,0,"@tanyakanrl bpom biar keliatan kerja??? noh kerjain dulu pabrik2 vaksin ilegal, skincare abal2",1.8831988546755215e+18,,tanyakanrl,in,,0,0,0,https://x.com/beeerbitch/status/1883198854675521612,415428281.0,beeerbitch
1.8828285414795305e+18,Fri Jan 24 16:31:20 +0000 2025,2,"Gua selama ngikutin drama skincare ini tu kok heran ama bpom gada gembar gembor, sampe banyak skincare &amp; obat ilegal, bahaya, overclaim bisa lolos tu apa gada monitoring apa gmn. Masyarakat lebih percaya doktif &amp; tasya approve ya karna BPOM udah gabisa dipercaya, udah ga kredibel",1.8828285414795305e+18,,,in,,0,0,0,https://x.com/zale26028774/status/1882828541479530537,1.5583544929611448e+18,zale26028774
1.8806389589354414e+18,Sat Jan 18 15:30:43 +0000 2025,0,BPOM CIDUK SKINCARE ILEGAL yang mengandung bahan berbahaya.. Cek daftarnya dan hindari pembelian dari toko abal².. https://t.co/M6nbtCQYDw,1.8806389589354414e+18,https://pbs.twimg.com/media/Ghle6ZvakAAKheu.jpg,,in,,0,0,1,https://x.com/BenksWinarso/status/1880638958935441515,1.1351952842316882e+18,BenksWinarso
1.8721461479823485e+18,Thu Dec 26 05:03:19 +0000 2024,3,"gue kasih tau skrg maklon banyak yg murah ga 300jt juga udah bisa maklon, org jualan skincare blm bpom alias ilegal dipercaya. giliran yang udah legal dan ada izin edarnya malah dibilang overprice.😭😭 semua skincare cocok-cocokan, dikulit lu cocok blm tentu di kulit org cocok",1.8721461479823485e+18,,,in,,0,0,0,https://x.com/beautiaf/status/1872146147982348584,8.532307866019308e+17,beautiaf
1.8663108531230684e+18,Tue Dec 10 02:35:56 +0000 2024,0,"Dunia #Estetik Indonesia, koq bisa kecolongan? #ilegal #skincare @BPOM_RI @KemenkesRI
@KompasTV @kompascom
@medcom_id @Metro_TV
https://t.co/a0B9ZuooE0",1.8663108531230684e+18,,,in,,0,0,0,https://x.com/eriktapanmd/status/1866310853123068307,149805349.0,eriktapanmd
